Date,Speaker,Topic,Recording
11-May-26,Jeremy Labrecque (Erasmus MC),Association. You keep using that word. I do not think it means what you think it means.,"<a href=""https://youtu.be/IKdCuY-GjP4?si=Jd_45HvtoEGpmEr1"">Video</a>"
13-Apr-26,Natalia Ortega (Brigham and Women's Hospital),Meta-analyses of dietary exposures must consider energy adjustment: recommendations from a meta-scientific review,"<a href=""https://youtu.be/MH7pP1Qb5jQ?si=TplRjbtXob8Xf10z"">Video</a>"
09-Mar-26,Richard Silverwood (University College London),Adjusting for confounding in population administrative data when confounders are only measured in a linked cohort,"<a href=""https://youtu.be/n5HHg4RJQns?si=vhTqP47PrQvR9VGE"">Video</a>"
16-Feb-26,Mats Stensrud (École Polytechnique Fédérale de Lausanne),Why reporting hazard ratios in medical research is a bad idea,"<a href=""https://youtu.be/KL4eFZcw-sg?si=FiXdR5IGBUTwF5YM"">Video</a>"
26-Jan-26,George Davey Smith (University of Bristol),"Mendelian Randomization - what it was, what it is, and what it should become","<a href=""https://youtu.be/u8vQ0vGJEVA?si=3AANGQYiQC6Hj4Uz"">Video</a>"
08-Dec-25,Yordan Raykov (University of Nottingham),Nonparametric estimators for functional causal effects,"<a href=""https://youtu.be/DG3jybd6-Hk?si=u-ipVHQ1ardAUR3f"">Video</a>"
10-Nov-25,Marco Piccininni (École Polytechnique Fédérale de Lausanne),An overlooked stability property of the risk ratio and its practical implications,"<a href=""https://youtu.be/dclnfI-gUxA?si=U9IjtD2ZwuLI_Hwz"">Video</a>"
20-Oct-25,Julia Rohrer (Leipzig University),Making Rigorous Causal Inference More Mainstream,"<a href=""https://youtu.be/YL0co26ng-g?si=HvCPLa6ssg9Y8O4Q"">Video</a>"
30-Jun-25,Martin Danka (University College London),Inverse Probability Weighting of Count Exposures: A Simulation Study Motivated by Examining the Health Consequences of Psychological Distress,"<a href=""https://youtu.be/rXrKPXifJSo?si=qRJqN39J3pbkySXA"" target=""_blank"">Video</a>"
02-Jun-25,Rachel Yorlets (Boston University),Complexities and Advantages of Causal Methods for Social Questions: An applied target trial emulation study of migration and mortality in South Africa,"<a href=""https://youtu.be/3LNsQMZyZuM?si=POr6shBupo2HVMlj"" target=""_blank""> Video</a>"
12-May-25,Michelle Kelly-Irving (Inserm - University of Toulouse),Moving through the fog: considering causality in health inequalities research,"<a href=""https://youtu.be/gWm9Ku8mFi8?si=uSK54vvCbj8_sNSc"" target=""_blank"">Video</a>"
07-Apr-25,Margarita Moreno-Betancur (Murdoch Children's Research Institute & University of Melbourne),Using missingness directed acyclic graphs (m-DAGs) to guide the treatment of multivariable missing data in epidemiological studies,"<a href=""https://youtu.be/9DB2vwA3Zj8?si=98N9xmgyN-709Pmp"" target=""_blank"">Video</a>"
10-Mar-25,Haidong Lu (Yale University),Selection Bias: Where Are We Now?,"<a href=""https://youtu.be/7YFGh5Y4fWA?si=WovAMhn07ybluOVX"" target=""_blank"">Video</a>"
